bank_id,month,month_label,rm_name,visits_planned,visits_completed,escalations_raised,escalations_closed,bank_score,remarks
BNK001,2024-04-01,Apr-2024,Meena Pillai,9,2,4,3,59.6,Performing Well
BNK001,2024-05-01,May-2024,Meena Pillai,7,10,5,4,54.1,On Track
BNK001,2024-06-01,Jun-2024,Meena Pillai,6,1,0,5,87.0,Excellent Growth
BNK001,2024-07-01,Jul-2024,Meena Pillai,5,4,4,2,83.3,Lagging on Volume
BNK001,2024-08-01,Aug-2024,Meena Pillai,3,9,3,3,56.4,Needs Attention
BNK001,2024-09-01,Sep-2024,Meena Pillai,4,1,2,5,63.1,On Track
BNK001,2024-10-01,Oct-2024,Meena Pillai,10,8,5,1,81.4,Lagging on Volume
BNK001,2024-11-01,Nov-2024,Meena Pillai,8,6,5,3,53.5,Needs Attention
BNK001,2024-12-01,Dec-2024,Meena Pillai,5,2,4,4,56.8,Needs Attention
BNK001,2025-01-01,Jan-2025,Meena Pillai,3,7,1,0,76.3,Lagging on Volume
BNK001,2025-02-01,Feb-2025,Meena Pillai,7,2,3,3,53.2,Needs Attention
BNK001,2025-03-01,Mar-2025,Meena Pillai,3,3,1,3,63.1,On Track
BNK002,2024-04-01,Apr-2024,Meena Pillai,9,10,1,3,75.3,Performing Well
BNK002,2024-05-01,May-2024,Meena Pillai,4,7,3,3,63.7,Needs Attention
BNK002,2024-06-01,Jun-2024,Meena Pillai,5,4,4,5,53.4,Excellent Growth
BNK002,2024-07-01,Jul-2024,Meena Pillai,6,3,2,1,89.4,Excellent Growth
BNK002,2024-08-01,Aug-2024,Meena Pillai,5,7,3,0,58.7,Excellent Growth
BNK002,2024-09-01,Sep-2024,Meena Pillai,6,8,4,2,80.3,Excellent Growth
BNK002,2024-10-01,Oct-2024,Meena Pillai,8,3,1,2,59.3,Excellent Growth
BNK002,2024-11-01,Nov-2024,Meena Pillai,9,5,2,2,84.2,Performing Well
BNK002,2024-12-01,Dec-2024,Meena Pillai,6,7,5,5,77.1,Excellent Growth
BNK002,2025-01-01,Jan-2025,Meena Pillai,4,2,0,2,89.2,Needs Attention
BNK002,2025-02-01,Feb-2025,Meena Pillai,6,1,3,2,51.2,Excellent Growth
BNK002,2025-03-01,Mar-2025,Meena Pillai,3,6,4,3,73.9,Performing Well
BNK003,2024-04-01,Apr-2024,Rajan Mehta,8,6,4,5,83.0,On Track
BNK003,2024-05-01,May-2024,Rajan Mehta,9,3,3,4,73.9,Excellent Growth
BNK003,2024-06-01,Jun-2024,Rajan Mehta,3,3,2,4,54.9,Needs Attention
BNK003,2024-07-01,Jul-2024,Rajan Mehta,3,5,3,1,73.4,On Track
BNK003,2024-08-01,Aug-2024,Rajan Mehta,9,3,5,3,69.8,On Track
BNK003,2024-09-01,Sep-2024,Rajan Mehta,6,3,1,2,75.4,On Track
BNK003,2024-10-01,Oct-2024,Rajan Mehta,3,3,4,2,67.2,Excellent Growth
BNK003,2024-11-01,Nov-2024,Rajan Mehta,10,8,1,5,72.8,Excellent Growth
BNK003,2024-12-01,Dec-2024,Rajan Mehta,6,10,2,3,92.6,Performing Well
BNK003,2025-01-01,Jan-2025,Rajan Mehta,8,2,4,5,90.8,Performing Well
BNK003,2025-02-01,Feb-2025,Rajan Mehta,10,5,5,0,53.7,Lagging on Volume
